report_month,spill_type,rurality,n_events,mean_delay,time,post_2020,time_post
2021-04-01,Historical,Urban,43,0.6744186046511628,74.1,1,74.1
2021-05-01,Historical,Urban,26,0.46153846153846156,75.1,1,75.1
2021-06-01,Historical,Urban,45,0.35555555555555557,76.13333333333334,1,76.13333333333334
2021-07-01,Historical,Urban,29,0.6206896551724138,77.13333333333334,1,77.13333333333334
2021-08-01,Historical,Urban,22,0.4090909090909091,78.16666666666667,1,78.16666666666667
2021-09-01,Historical,Urban,20,0.6,79.2,1,79.2
2021-10-01,Historical,Urban,36,0.2222222222222222,80.2,1,80.2
2021-11-01,Historical,Urban,31,0.4838709677419355,81.23333333333333,1,81.23333333333333
2021-12-01,Historical,Urban,46,0.2608695652173913,82.23333333333333,1,82.23333333333333
2022-01-01,Historical,Urban,33,0.3939393939393939,83.26666666666667,1,83.26666666666667
2022-02-01,Historical,Urban,55,0.2545454545454545,84.3,1,84.3
2022-03-01,Historical,Urban,69,0.14492753623188406,85.23333333333333,1,85.23333333333333
2022-04-01,Historical,Urban,55,0.4,86.26666666666667,1,86.26666666666667
2022-05-01,Historical,Urban,50,0.28,87.26666666666667,1,87.26666666666667
2022-06-01,Historical,Urban,47,0.02127659574468085,88.3,1,88.3
2022-07-01,Historical,Urban,28,0.35714285714285715,89.3,1,89.3
2022-08-01,Historical,Urban,34,0.29411764705882354,90.33333333333333,1,90.33333333333333
2022-09-01,Historical,Urban,47,0.425531914893617,91.36666666666666,1,91.36666666666666
2022-10-01,Historical,Urban,23,0.5652173913043478,92.36666666666666,1,92.36666666666666
2022-11-01,Historical,Urban,34,0.23529411764705882,93.4,1,93.4
2022-12-01,Historical,Urban,37,0.16216216216216217,94.4,1,94.4
2023-01-01,Historical,Urban,34,0.3235294117647059,95.43333333333334,1,95.43333333333334
2023-02-01,Historical,Urban,37,0.2702702702702703,96.46666666666667,1,96.46666666666667
2023-03-01,Historical,Urban,53,0.3584905660377358,97.4,1,97.4
2023-04-01,Historical,Urban,44,0.25,98.43333333333334,1,98.43333333333334
2023-05-01,Historical,Urban,49,0.22448979591836735,99.43333333333334,1,99.43333333333334
2023-06-01,Historical,Urban,51,0.21568627450980393,100.46666666666667,1,100.46666666666667
2023-07-01,Historical,Urban,61,0.16393442622950818,101.46666666666667,1,101.46666666666667
2023-08-01,Historical,Urban,59,0.3559322033898305,102.5,1,102.5
2023-09-01,Historical,Urban,47,0.2127659574468085,103.53333333333333,1,103.53333333333333
2023-10-01,Historical,Urban,59,0.3898305084745763,104.53333333333333,1,104.53333333333333
2023-11-01,Historical,Urban,57,0.40350877192982454,105.56666666666666,1,105.56666666666666
2023-12-01,Historical,Urban,37,0.40540540540540543,106.56666666666666,1,106.56666666666666
2024-01-01,Historical,Urban,66,0.3484848484848485,107.6,1,107.6
2024-02-01,Historical,Urban,46,0.2391304347826087,108.63333333333334,1,108.63333333333334
2024-03-01,Historical,Urban,59,0.3559322033898305,109.6,1,109.6
2024-04-01,Historical,Urban,65,0.27692307692307694,110.63333333333334,1,110.63333333333334
2024-05-01,Historical,Urban,88,0.36363636363636365,111.63333333333334,1,111.63333333333334
2024-06-01,Historical,Urban,103,0.46601941747572817,112.66666666666667,1,112.66666666666667
2024-07-01,Historical,Urban,83,0.42168674698795183,113.66666666666667,1,113.66666666666667
2024-08-01,Historical,Urban,83,0.3493975903614458,114.7,1,114.7
2024-09-01,Historical,Urban,100,0.46,115.73333333333333,1,115.73333333333333
2024-10-01,Historical,Urban,144,0.2708333333333333,116.73333333333333,1,116.73333333333333
2024-11-01,Historical,Urban,114,0.39473684210526316,117.76666666666667,1,117.76666666666667
2024-12-01,Historical,Urban,74,0.3918918918918919,118.76666666666667,1,118.76666666666667
2015-03-01,Historical,Suburban,0,,0.0,0,0.0
2015-04-01,Historical,Suburban,4,2.0,1.0333333333333334,0,0.0
2015-05-01,Historical,Suburban,0,,2.033333333333333,0,0.0
2015-06-01,Historical,Suburban,0,,3.066666666666667,0,0.0
2015-07-01,Historical,Suburban,3,0.0,4.066666666666666,0,0.0
2015-08-01,Historical,Suburban,0,,5.1,0,0.0
2015-09-01,Historical,Suburban,2,0.0,6.133333333333334,0,0.0
2015-10-01,Historical,Suburban,5,0.8,7.133333333333334,0,0.0
2015-11-01,Historical,Suburban,0,,8.166666666666666,0,0.0
2015-12-01,Historical,Suburban,0,,9.166666666666666,0,0.0
2016-01-01,Historical,Suburban,0,,10.2,0,0.0
2016-02-01,Historical,Suburban,0,,11.233333333333333,0,0.0
2016-03-01,Historical,Suburban,5,1.6,12.2,0,0.0
2016-04-01,Historical,Suburban,2,0.0,13.233333333333333,0,0.0
2016-05-01,Historical,Suburban,0,,14.233333333333333,0,0.0
2016-06-01,Historical,Suburban,0,,15.266666666666667,0,0.0
2016-07-01,Historical,Suburban,0,,16.266666666666666,0,0.0
2016-08-01,Historical,Suburban,0,,17.3,0,0.0
2016-09-01,Historical,Suburban,0,,18.333333333333332,0,0.0
2016-10-01,Historical,Suburban,0,,19.333333333333332,0,0.0
2016-11-01,Historical,Suburban,0,,20.366666666666667,0,0.0
2016-12-01,Historical,Suburban,0,,21.366666666666667,0,0.0
2017-01-01,Historical,Suburban,0,,22.4,0,0.0
2017-02-01,Historical,Suburban,5,1.6,23.433333333333334,0,0.0
2017-03-01,Historical,Suburban,0,,24.366666666666667,0,0.0
2017-04-01,Historical,Suburban,0,,25.4,0,0.0
2017-05-01,Historical,Suburban,3,1.0,26.4,0,0.0
2017-06-01,Historical,Suburban,0,,27.433333333333334,0,0.0
2017-07-01,Historical,Suburban,0,,28.433333333333334,0,0.0
2017-08-01,Historical,Suburban,5,0.0,29.466666666666665,0,0.0
2017-09-01,Historical,Suburban,0,,30.5,0,0.0
2017-10-01,Historical,Suburban,0,,31.5,0,0.0
