Document #,Report,Operator,Operator #,Tracking #,Initial Report Date,Date of Discovery,Spill Type,Qtr Qtr,Section,Township,range,meridian,Latitude,Longitude,Municipality,county,Facility Type,Facility ID,API County Code,API Sequence Number,Spilled outside of berms,More than five barrels spilled,Oil Spill Volume,Condensate Spill Volume,Flow Back Spill Volume,Produced Water Spill Volume,E&P Waste Spill Volume,Other Waste,Drilling Fluid Spill Volume,Current Land Use,Other Land Use,Weather Conditions,Surface Owner,Surface Owner Other,Waters of the State,Residence / Occupied Structure,livestock,Public Byway,Surface Water Supply Area,Spill Description,Supplemental Report Date,Oil BBLs Spilled,Oil BBLs Recovered,Oil Unknown,Condensate BBLs Spilled,Condensate BBLs Recovered,Condensate Unknown,Produced Water BBLs Spilled,Produced Water BBLs Recovered,Produced Water Unknown,Drilling Fluid BBLs Spilled,Drilling Fluid BBLs Recovered,Drilling Fluid Unknown,Flow Back Fluid BBLs Spilled,Flow Back Fluid BBLs Recovered,Flow Back Fluid Unkown,Other E&P Waste BBLS Spilled,Other E&P Waste BBLS Recovered,Other E&P Waste Unknown,Other E&P Waste,Spill Contained within Berm,Emergency Pit Constructed,soil,groundwater,Surface Water,Dry Drainage Feature,Surface Area Length,Surface Area Width,Depth of Impact in Feet,Depth of Impact in Inches,Area Depth Determined,Geology Description,Depth to Groundwater,Water wells in area,Water Wells,Water Wells None,Surface Water Near,Surface Water None,Wetlands,Wetlands None,Springs,Springs None,Livestock Near,Livestock None,Occupied Buildings,Occupied Buildings None,Additional Spill Details,Supplemental Report Date CA,Human Error,Equipment Failure,Historical Unkown,Other,Other Description,Root Cause,Preventative Measures,Soil Excavated,Offsite Disposal,Onsite Treatment,Other Disposition,Other Disposition Description,Ground Water Removed,Surface Water Removed,Corrective Actions Completed,Approved Form 27,Form 27 Project Number,GEOID,TRACT_NAME,total_population,white_population,hispanic_population,median_household_income,poverty_population,unemployed_population,percent_white,percent_hispanic,percent_poverty,unemployment_rate,geometry,ruca_code,ruca_description,rurality,report_delay_full_days,report_delay_winsor99,report_delay_winsor99_int,Period,spill_type
400926194,I w/S,KERR MCGEE OIL & GAS ONSHORE LP,47120,400926194,2015-10-28,2014-03-04,Recent,NWSW  ,3,2N    ,67W    ,6,40.164501,-104.882715,,WELD           ,TANK BATTERY,317602.0,   ,     ,Y,Y,0,>=5 and <100,0,0,0,,0,OTHER                              ,Rangeland,"26° F, clear                       ",FEE,,1.0,0.0,0.0,0.0,0.0,"Please refer to the attached Form 19 for the Gibler 11-3A, 14-3A, Prymack GU 1, which was submitted to the COGCC via email on March 14, 2014. Please note that the attached Form 19 was not uploaded to the COGCC database in March 2014. A copy of the Form 19 submittal email is attached.",10/29/2015,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,55.0,50.0,6.0,,"Please refer to the attached Form 19, which was submitted to the COGCC via email on March 14, 2014.","Please refer to the attached Form 19, which was submitted to the COGCC via email on March 14, 2014.",3.0,11.0,360.0,0.0,150.0,0.0,1980.0,0.0,,1.0,180.0,0.0,250.0,0.0,A Form 27 is attached.,2015-10-29,0.0,1.0,0.0,0.0,,"Please refer to the attached Form 19, which was submitted to the COGCC via email on March 14, 2014.","Please refer to the attached Form 19, which was submitted to the COGCC via email on March 14, 2014.",465.0,1.0,0.0,0.0,,220.0,0.0,False,1.0,9325.0,08123001800,18,4681.0,3690.0,1658.0,85561.0,273.0,186.0,78.82930997650075,35.41978209784234,5.832087160863064,3.9735099337748347,POINT (-104.882715 40.164501),3,Metropolitan low commuting,Urban,603,173.43000000000393,173,Before 2020,Recent
400928109,I,SYNERGY RESOURCES CORPORATION,10311,400928109,2015-10-30,2014-03-06,Recent,senw  ,17,4N    ,67W    ,6,40.3163,-104.9182,,WELD           ,TANK BATTERY,431271.0,   ,     ,Y,N,>=1 and <5,0,0,0,0,,0,CROP LAND                          ,,"45 degree weather , dry            ",FEE,,0.0,0.0,0.0,0.0,0.0,During a routine transfer from the wind 17-12 north oil tanks to the tanker truck one of the oil transfer hose camlocks became loose which caused a leak from the hose at the tanker truck. approximately 2 bbls of oil leaked from the transfer hose before it was discovered by the driver. The oil pooled in a low adjacent to the tank battery containment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,,08123002108,21.08,7339.0,6188.0,1349.0,108415.0,683.0,306.0,84.31666439569425,18.38125085161466,9.30644501975746,4.16950538220466,POINT (-104.9182 40.3163),3,Metropolitan low commuting,Urban,603,173.43000000000393,173,Before 2020,Recent
400932143,S,SYNERGY RESOURCES CORPORATION,10311,400928109,2015-10-30,2014-03-06,Recent,senw  ,17,4N    ,67W    ,6,40.3163,-104.9182,,WELD           ,TANK BATTERY,431271.0,   ,     ,Y,N,>=1 and <5,0,0,0,0,,0,CROP LAND                          ,,"45 degree weather , dry            ",FEE,,0.0,0.0,0.0,0.0,0.0,During a routine transfer from the wind 17-12 north oil tanks to the tanker truck one of the oil transfer hose camlocks became loose which caused a leak from the hose at the tanker truck. approximately 2 bbls of oil leaked from the transfer hose before it was discovered by the driver. The oil pooled in a low adjacent to the tank battery containment.,11/06/2015,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,"See Analytical Results Report, COGCC Document Number 400928135","Aquolls and Aquepts, flooded",2.0,2.0,0.0,0.0,0.0,0.0,,1.0,,1.0,,1.0,0.0,0.0,"Description of the spill, remediation, and confirmation analytical results included in the Analytical Results Report, COGCC Document Number 400928135",2015-11-06,1.0,0.0,0.0,0.0,,"Description of the spill, remediation, and confirmation analytical results included in the Analytical Results Report, COGCC Document Number 400928135.",Training field staff on incident and corrective actions,25.0,1.0,0.0,0.0,,0.0,0.0,True,0.0,,08123002108,21.08,7339.0,6188.0,1349.0,108415.0,683.0,306.0,84.31666439569425,18.38125085161466,9.30644501975746,4.16950538220466,POINT (-104.9182 40.3163),3,Metropolitan low commuting,Urban,603,173.43000000000393,173,Before 2020,Recent
400938729,I w/S,KERR MCGEE OIL & GAS ONSHORE LP,47120,400938729,2015-11-17,2014-04-18,Historical,NESE  ,9,2N    ,66W    ,6,40.149423,-104.776677,,WELD           ,TANK BATTERY,330897.0,   ,     ,Y,N,Unknown,0,0,Unknown,0,,0,OTHER                              ,Rangeland,"64° F, clear                       ",FEE,,1.0,0.0,0.0,0.0,0.0,"Please refer to the attached Form 19, which was originally submitted to the COGCC on April 28, 2014.",11/17/2015,,,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,80.0,8.0,6.0,,"Please refer to the attached Form 19, which was originally submitted to the COGCC on April 28, 2014, and the attached NFA Status Request.","Please refer to the attached Form 19, which was originally submitted to the COGCC on April 28, 2014.",5.0,14.0,1500.0,0.0,215.0,0.0,215.0,0.0,,1.0,,1.0,1285.0,0.0,An NFA Status Request is attached.,2015-11-17,0.0,0.0,1.0,0.0,,"Please refer to the attached Form 19, which was originally submitted to the COGCC on April 28, 2014.","Please refer to the attached Form 19, which was originally submitted to the COGCC on April 28, 2014.",120.0,1.0,0.0,0.0,,100.0,0.0,False,0.0,,08123001800,18,4681.0,3690.0,1658.0,85561.0,273.0,186.0,78.82930997650075,35.41978209784234,5.832087160863064,3.9735099337748347,POINT (-104.776677 40.149423),3,Metropolitan low commuting,Urban,578,173.43000000000393,173,Before 2020,Historical
400944774,I w/S,OXY USA WTP LP,66571,400944774,2015-11-30,2013-08-28,Recent,NWNW  ,32,6S    ,97W    ,6,39.482857,-108.249189,,GARFIELD       ,GAS GATHERING SYSTEM,412058.0,   ,     ,Y,Y,0,>=1 and <5,0,>=1 and <5,0,,0,NON-CROP LAND                      ,,Clear                              ,FEE,OXY USA,0.0,0.0,0.0,0.0,0.0,"The initial Form 19 was submitted to the COGCC in August 2013 but no correspondence or spill number information was provided.  Therefore Oxy is resubmitting this initial Form 19 for review and approval.  The facility was shutdown and undergoing installation of a new low pressure drain system.  The old piping was removed and the new piping had been installed.  A portion of the plant (CC2) connected to the low pressure drain system, was brought online.  A low point valve on the newly installed low pressure drain piping was inadvertantly left in an open position.  CC2 was started in the late evening hours, which started to fill the low pressure drain line, and allowed a water/condensate mix to spill from the open valve onto the cracked concrete equipment foundation.",11/30/2015,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,20.0,10.0,,,The extent of impact was characterized laterally by surficial soil impacts and vertically by pot holing along the spill flow pathway.,"Happle very channery sandy loam, 3 - 12 % slopes.",60.0,5.0,2419.0,0.0,214.0,0.0,,1.0,1000.0,0.0,,1.0,277.0,0.0,"Oxy is resubmitting this Form 19 as the original Form 19 was submitted via email to the COGCC.  No correspondence or document/location number was provided for the location by the COGCC.  Oxy has prepared and attached a summary of actions taken, the initial Form 19 which was originally submitted, tabulated sampling data, sampling location maps, and laboratory analytical reports for COGCC review and approval.",2015-11-30,1.0,0.0,0.0,0.0,,Lockout/tagout procedures have been updated to include both CC1 and CC2 compressor stations during future shutdown activities.  The concrete containment has been lined with plastic to ensure any spills do not leak through cracks and onto the ground.,Lockout/tagout procedures have been updated to include both CC1 and CC2 compressor stations during future shutdown activities. ,0.0,0.0,0.0,0.0,,0.0,0.0,True,0.0,,08045952100,9521,7240.0,5646.0,1659.0,64573.0,693.0,240.0,77.98342541436463,22.914364640883978,9.57182320441989,3.314917127071823,POINT (-108.249189 39.482857),7,Small town core,Rural,824,173.43000000000393,173,Before 2020,Recent
400952598,I w/S,KERR MCGEE OIL & GAS ONSHORE LP,47120,400952598,2015-12-11,2014-04-10,Historical,SWSE  ,11,3N    ,67W    ,6,40.235733,-104.854955,,WELD           ,TANK BATTERY,,   ,     ,Y,N,0,Unknown,0,Unknown,0,,0,OTHER                              ,Rural residential,50 degrees                         ,FEE,,1.0,0.0,0.0,0.0,0.0,"On April 10, 2014, during tank battery reconstruction activities, hydrocarbon impacts were discovered beneath the produced water sump at the PSC-63N67W11SWSE prdocution facility. There were no indications that the dump lines, water tank, or fittings were responsible for the release. The volume of the release is unknown. The Form 19 was originally submitted to the COGCC on April 18, 2014. See attached.",12/11/2015,0.0,0.0,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,10.0,20.0,4.0,,See details presented in the original Form 19 submitted to the COGCC on 4/18/2014.,Sand with silt.,4.0,14.0,310.0,0.0,500.0,0.0,,1.0,,1.0,,1.0,870.0,0.0,,,,,,,,,,,,,,,,,False,0.0,200438331.0,08123001800,18,4681.0,3690.0,1658.0,85561.0,273.0,186.0,78.82930997650075,35.41978209784234,5.832087160863064,3.9735099337748347,POINT (-104.854955 40.235733),3,Metropolitan low commuting,Urban,610,173.43000000000393,173,Before 2020,Historical
400954587,I w/S,KERR MCGEE OIL & GAS ONSHORE LP,47120,400954587,2015-12-15,2013-09-26,Recent,NWSE  ,12,1N    ,67W    ,6,40.064967,-104.837339,,WELD           ,TANK BATTERY,418845.0,   ,     ,Y,N,0,0,0,>=5 and <100,0,,0,CROP LAND                          ,,"80 degrees, clear.                 ",FEE,,1.0,0.0,0.0,0.0,0.0,"On September 26, 2013, an operator noticed the water tank gauge was going down on automation.  The water tank was tested with fresh water and it was discovered that the poly pipe came apart at a fuse on the 2"" water dumpline. Approximately 29 bbls of produced water were released within the tank battery berm. The Form 19 was originally submitted to the COGCC on October 8, 2013. See attached.",12/12/2015,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,16.0,20.0,3.0,,"See details presented in the original Form 19 submitted to the COGCC on October 8, 2013.",Clay Loam.,3.0,31.0,750.0,0.0,1325.0,0.0,,1.0,,1.0,,1.0,2100.0,0.0,,,,,,,,,,,,,,,,,False,0.0,,08123001910,19.10,1992.0,1717.0,1064.0,52917.0,234.0,49.0,86.19477911646585,53.41365461847389,11.74698795180723,2.459839357429719,POINT (-104.837339 40.064967),2,Metropolitan high commuting,Urban,810,173.43000000000393,173,Before 2020,Recent
400955530,S,KERR MCGEE OIL & GAS ONSHORE LP,47120,400952598,2015-12-11,2014-04-10,Historical,SWSE  ,11,3N    ,67W    ,6,40.235733,-104.854955,,WELD           ,TANK BATTERY,,   ,     ,Y,N,0,Unknown,0,Unknown,0,,0,OTHER                              ,Rural residential,50 degrees                         ,FEE,,1.0,0.0,0.0,0.0,0.0,"On April 10, 2014, during tank battery reconstruction activities, hydrocarbon impacts were discovered beneath the produced water sump at the PSC-63N67W11SWSE prdocution facility. There were no indications that the dump lines, water tank, or fittings were responsible for the release. The volume of the release is unknown. The Form 19 was originally submitted to the COGCC on April 18, 2014. See attached.",12/16/2015,0.0,0.0,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,10.0,20.0,4.0,,See details presented in the original Form 19 submitted to the COGCC on 4/18/2014.,Sand with silt.,4.0,14.0,310.0,0.0,500.0,0.0,,1.0,,1.0,,1.0,870.0,0.0,,,,,,,,,,,,,,,,,False,1.0,9412.0,08123001800,18,4681.0,3690.0,1658.0,85561.0,273.0,186.0,78.82930997650075,35.41978209784234,5.832087160863064,3.9735099337748347,POINT (-104.854955 40.235733),3,Metropolitan low commuting,Urban,610,173.43000000000393,173,Before 2020,Historical
400978919,I,PICEANCE ENERGY LLC DBA LARAMIE ENERGY COMPANY,10433,400978919,2016-01-27,2011-01-31,Historical,NESE  ,13,7S    ,94W    ,6,39.43559,-107.8291,,GARFIELD       ,WELL,,045,17611,N,Y,0,0,0,>=5 and <100,0,Approx 40-50 bbl spilled,0,OTHER                              ,Rangeland (Summer),"Cold, snowing                      ",FEE,,0.0,0.0,0.0,0.0,0.0,"CONTRACTOR WAS TRANSFERRING PRODUCED WATER WHEN THE FITTING (STAINLESS STEEL BAND) ON A 3"" HOSE GAVE WAY. WATER WAS RELEASED ON LOCATION UNTIL VALVE AND HOSE COULD BE ISOLATED. DISTANCE TO SURFACE WATER BASED ON DRAINAGE PATTERN AND WATER FLOW ROUTE. CLOSEST WATER WELL UP GRADIENT OF PAD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,,08045952003,9520.03,2376.0,2025.0,973.0,108364.0,52.0,49.0,85.22727272727273,40.95117845117845,2.1885521885521886,2.0622895622895623,POINT (-107.8291 39.43559),5,Micropolitan high commuting,Suburban,1822,173.43000000000393,173,Before 2020,Historical
400979944,S,PICEANCE ENERGY LLC DBA LARAMIE ENERGY COMPANY,10433,400978919,2016-01-27,2011-01-31,Historical,NESE  ,13,7S    ,94W    ,6,39.43559,-107.8291,,GARFIELD       ,WELL,,045,17611,N,Y,0,0,0,>=5 and <100,0,Approx 40-50 bbl spilled,0,OTHER                              ,Rangeland (Summer),"Cold, snowing                      ",FEE,,0.0,0.0,0.0,0.0,0.0,"CONTRACTOR WAS TRANSFERRING PRODUCED WATER WHEN THE FITTING (STAINLESS STEEL BAND) ON A 3"" HOSE GAVE WAY. WATER WAS RELEASED ON LOCATION UNTIL VALVE AND HOSE COULD BE ISOLATED. DISTANCE TO SURFACE WATER BASED ON DRAINAGE PATTERN AND WATER FLOW ROUTE. CLOSEST WATER WELL UP GRADIENT OF PAD.",01/28/2016,0.0,0.0,0.0,0.0,0.0,0.0,,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,150.0,90.0,0.0,,"Visual observation of surface, fluid volumes pumped from spill. Fluid spill was on location. Site was surveyed to ensure no water went beyond berms on site. No spilled fluids migrated outside the bermed containment of the pad.","Compacted Cimarron Loam, 2-2 1/2% slopes, Map Unit 16",50.0,0.0,4195.0,0.0,1848.0,0.0,,1.0,,1.0,,1.0,,1.0,"No remediation required, spill was fully contained and fluids did not migrate into soils because the ground was frozen.",2016-01-28,0.0,1.0,0.0,0.0,,"Contractor was transferring produced water when the fitting (stainless steel band) on a 3"" hose gave way.  Water was released on location until valve and hose could be isolated. *Distance to surface water based on drainage pattern and water flow route. Closest water well up gradient of pad. Valve to hose was closed. Water contained on location. Water truck on location sucked up all standing water onsite including melted snow (~55bbls). Environmental contractor (Olosn and Associates) investigated site 2/3/2011 and gathered soil sampes for anlaysis. No emergency pits required. Water stayed on location. See Photo (attachment) included with Initial F19 submittal. No remediation required, spill was fully contained and fluids did not migrate into soils because the ground was frozen.","Laramie consulted with contractor to review exisitng fluid transfer protocols and to assure the contractor's staff adhere to protocols in the future. Additionally, contractors will inspect all hose fittings for signs of wear or damage. Any hoses found to have worn or damaged clamps will be replaced.",0.0,0.0,0.0,0.0,,0.0,0.0,True,0.0,,08045952003,9520.03,2376.0,2025.0,973.0,108364.0,52.0,49.0,85.22727272727273,40.95117845117845,2.1885521885521886,2.0622895622895623,POINT (-107.8291 39.43559),5,Micropolitan high commuting,Suburban,1822,173.43000000000393,173,Before 2020,Historical
400987481,I w/S,KERR MCGEE OIL & GAS ONSHORE LP,47120,400987481,2016-02-11,2014-02-11,Historical,NWSE  ,13,3N    ,67W    ,6,40.22408,-104.839368,,WELD           ,TANK BATTERY,,   ,     ,Y,N,Unknown,0,0,Unknown,0,,0,CROP LAND                          ,,40 degrees.                        ,FEE,,1.0,0.0,0.0,0.0,0.0,"On February 11, 2014, during construction activities, historical hydrocarbon impacts were encountered beneath the produced water sump. The volume of the released material is unknown. The Form 19 was originally submitted to the COGCC on February 21, 2014.",02/11/2016,,,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,25.0,15.0,4.0,,"See details presented in the original Form 19 submitted to the COGCC on February 21, 2014.",Clay with sand and gravel.,3.0,25.0,920.0,0.0,600.0,0.0,,1.0,,1.0,,1.0,650.0,0.0,"Based on the analytical data presented in the original Form 19, Kerr-McGee is requesting a No Further Action (NFA) determination for this release.",,,,,,,,,,,,,,,,True,0.0,,08123001800,18,4681.0,3690.0,1658.0,85561.0,273.0,186.0,78.82930997650075,35.41978209784234,5.832087160863064,3.9735099337748347,POINT (-104.839368 40.22408),3,Metropolitan low commuting,Urban,730,173.43000000000393,173,Before 2020,Historical
401000380,I w/S,GRYNBERG* JACK DBA GRYNBERG PETROLEUM CO,36200,401000380,2016-03-04,2014-12-05,Recent,SESW  ,36,12N   ,101W   ,6,40.951248,-108.699298,,MOFFAT         ,WELL,,081,07314,Y,N,>=1 and <5,0,0,0,0,,0,NON-CROP LAND                      ,Pasture,Clear and dry                      ,STATE,,0.0,0.0,1.0,0.0,0.0,Stuffing box failed and leaked oil around the wellhead. The spill was contained with a berm as soon as it was discovered. All contaminated soil is being dug up and disposed of at an appropriate disposal facility.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,,08081000600,6,1007.0,994.0,78.0,69732.0,174.0,10.0,98.7090367428004,7.745779543197617,17.27904667328699,0.9930486593843099,POINT (-108.699298 40.951248),8,Small town high commuting,Rural,455,173.43000000000393,173,Before 2020,Recent
401023443,I w/S,ENCANA OIL & GAS (USA) INC,100185,401023443,2016-04-06,2013-06-10,Historical,NESE  ,30,5S    ,95W    ,6,39.583027,-108.088753,,GARFIELD       ,PIT,442764.0,   ,     ,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,NON-CROP LAND                      ,,Clear                              ,FEE,Encana,0.0,0.0,0.0,0.0,0.0,"This was a lined pit failure that was discovered after liner removal. This Form 19 was submitted during the discovery in 2013 but did not make it into the database. In accordance with COGCC Rule 905.b, representative samples (analyzed for Table 910-1 constituents of concern) were collected from undisturbed soil beneath the terminal pit liner. Sample analysis indicated total petroleum hydrocarbon (TPH), benzene, sodium absorption ratio (SAR), and arsenic to be above the allowable Table 910-1 levels. The attached site diagram illustrates sample location points.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,9599.0,08045952100,9521,7240.0,5646.0,1659.0,64573.0,693.0,240.0,77.98342541436463,22.914364640883978,9.57182320441989,3.314917127071823,POINT (-108.088753 39.583027),7,Small town core,Rural,1031,173.43000000000393,173,Before 2020,Historical
401062763,I w/S,KERR MCGEE OIL & GAS ONSHORE LP,47120,401062763,2016-06-14,2014-03-19,Historical,SESE  ,30,4N    ,68W    ,6,40.278012,-105.037135,,WELD           ,TANK BATTERY,323453.0,   ,     ,Y,Y,0,0,0,Unknown,0,,0,OTHER                              ,Rural Residential,50 Degrees                         ,FEE,,1.0,0.0,0.0,0.0,0.0,"On March 19, 2014, a corrosion hole in the produced water dump line was discovered during site inspection activities. The hole resulted in the release of an unknown volume of produced water. A Form 19 was submitted to the COGCC on March 31, 2014; a spill tracking number has not yet been assigned for this location. Copies of the original Form 19 transmittal letter and the original Form 19 are attached.",06/14/2016,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,15.0,30.0,19.0,,"Reference Form 19 (originally submitted March 31, 2014, attached) and Form 27 (attached).",Clay with Sand,18.0,2.0,1430.0,0.0,1060.0,0.0,,1.0,,1.0,,1.0,675.0,0.0,,2016-06-14,0.0,1.0,0.0,0.0,,"Reference Form 19 (originally submitted March 31, 2014, attached) and Form 27 (attached).","Reference Form 19 (originally submitted March 31, 2014, attached) and Form 27 (attached).",260.0,1.0,0.0,0.0,,30.0,0.0,False,1.0,9697.0,08123002104,21.04,1622.0,1329.0,177.0,129306.0,177.0,13.0,81.93588162762022,10.91245376078915,10.91245376078915,0.8014796547472256,POINT (-105.037135 40.278012),10,Rural area,Rural,818,173.43000000000393,173,Before 2020,Historical
401168114,S,KERR MCGEE OIL & GAS ONSHORE LP,47120,400938729,2015-11-17,2014-04-18,Historical,NESE  ,9,2N    ,66W    ,6,40.149423,-104.776677,,WELD           ,TANK BATTERY,330897.0,   ,     ,Y,N,Unknown,0,0,Unknown,0,,0,OTHER                              ,Rangeland,"64° F, clear                       ",FEE,,1.0,0.0,0.0,0.0,0.0,"Please refer to the attached Form 19, which was originally submitted to the COGCC on April 28, 2014.",12/27/2016,,,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,80.0,8.0,6.0,,"Please refer to the Form 19, which was originally submitted to the COGCC on April 28, 2014.","Please refer to the Form 19, which was originally submitted to the COGCC on April 28, 2014.",5.0,14.0,1500.0,0.0,215.0,0.0,215.0,0.0,,1.0,,1.0,1285.0,0.0,"An NFA Status Request was submitted to the COGCC on November 17, 2015.  A Form 27 was submitted to the COGCC on December 14, 2016.",2016-12-27,0.0,0.0,1.0,0.0,,"Please refer to the Form 19, which was originally submitted to the COGCC on April 28, 2014.","Please refer to the Form 19, which was originally submitted to the COGCC on April 28, 2014.",120.0,1.0,0.0,0.0,,100.0,0.0,False,1.0,9954.0,08123001800,18,4681.0,3690.0,1658.0,85561.0,273.0,186.0,78.82930997650075,35.41978209784234,5.832087160863064,3.9735099337748347,POINT (-104.776677 40.149423),3,Metropolitan low commuting,Urban,578,173.43000000000393,173,Before 2020,Historical
403328280,I w/S,ENERGY SEARCH CO ADBA ENERGY SEARCH CO INC,27635,403328280,2023-02-22,2021-12-29,Historical,NENE  ,13,1S    ,68W    ,6,39.969498,-104.942863,,ADAMS          ,WELL,,001,07405,,N,Unknown,0,0,Unknown,0,,0,NON-CROP LAND                      ,Pasture,"Overcast, cloudy, cold             ",FEE,Dalrymple,,,,,,A historic spill/release was discovered at the ENERGY SEARCH CO - NORTH COLORADO BOULEVARD (OWP) #4 wellhead during flowline removal activities initiated in December 2021 - January 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,18584.0,08001060002,600.02,4008.0,3086.0,772.0,137031.0,127.0,55.0,76.99600798403193,19.261477045908183,3.1686626746506983,1.372255489021956,POINT (-104.942863 39.969498),1,Metropolitan core,Urban,420,173.43000000000393,173,2020 and After,Historical
401312425,I w/S,GREAT WESTERN OPERATING COMPANY LLC,10110,401312425,2017-06-19,2014-04-25,Historical,SWNE  ,14,2N    ,68W    ,6,40.141381,-104.96606,,WELD           ,TANK BATTERY,336384.0,   ,     ,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,CROP LAND                          ,,"Sunny, 60 degrees F                ",FEE,,1.0,0.0,0.0,0.0,0.0,Soil and groundwater impacts were discovered during initial subsurface investigation activities at the tank battery associated with due diligence.,06/20/2017,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,120.0,125.0,,,The extent of impact has yet to be determined.  ,"Vona sandy loam, 1 to 3 percent slopes. Sand and sandy clay.",7.0,10.0,985.0,0.0,1000.0,0.0,4500.0,0.0,,1.0,1000.0,0.0,1000.0,0.0,,2017-06-20,0.0,0.0,1.0,0.0,,Unknown,,0.0,0.0,0.0,0.0,,0.0,0.0,False,0.0,,08123002019,20.19,7371.0,5779.0,2000.0,99110.0,308.0,131.0,78.40184506851173,27.1333604666938,4.178537511870846,1.7772351105684439,POINT (-104.96606 40.141381),4,Micropolitan core,Suburban,1151,173.43000000000393,173,Before 2020,Historical
401374930,S,GREAT WESTERN OPERATING COMPANY LLC,10110,401312425,2017-06-19,2014-04-25,Historical,SWNE  ,14,2N    ,68W    ,6,40.141381,-104.96606,,WELD           ,TANK BATTERY,336384.0,   ,     ,N,N,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,CROP LAND                          ,,"Sunny, 60 degrees F                ",FEE,,1.0,0.0,0.0,0.0,0.0,Soil and groundwater impacts were discovered during initial subsurface investigation activities at the tank battery associated with due diligence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.0,10344.0,08123002019,20.19,7371.0,5779.0,2000.0,99110.0,308.0,131.0,78.40184506851173,27.1333604666938,4.178537511870846,1.7772351105684439,POINT (-104.96606 40.141381),4,Micropolitan core,Suburban,1151,173.43000000000393,173,Before 2020,Historical
401471885,S,GADECO LLC,10673,401000380,2016-03-04,2014-12-05,Recent,SESW  ,36,12N   ,101W   ,6,40.951248,-108.699298,,MOFFAT         ,WELL,,081,07314,Y,N,>=1 and <5,0,0,0,0,,0,NON-CROP LAND                      ,Pasture,Clear and dry                      ,STATE,,0.0,0.0,1.0,0.0,0.0,Stuffing box failed and leaked oil around the wellhead. The spill was contained with a berm as soon as it was discovered. All contaminated soil is being dug up and disposed of at an appropriate disposal facility.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0,,08081000600,6,1007.0,994.0,78.0,69732.0,174.0,10.0,98.7090367428004,7.745779543197617,17.27904667328699,0.9930486593843099,POINT (-108.699298 40.951248),8,Small town high commuting,Rural,455,173.43000000000393,173,Before 2020,Recent
