spill_type,rurality,nb_median,nb_ci_lower,nb_ci_upper,nb_p,poisson_median,poisson_ci_lower,poisson_ci_upper,poisson_p
Historical,Rural,-4.199889746705184,-10.971624837175552,2.5549943569672315,0.2228,0.2808043211269003,0.1565863348121387,0.4013503521568019,0.0
Historical,Suburban,-0.7410415074487329,-11.365626134011068,9.922773219178197,0.88,0.3627858627858625,0.1431912681912688,0.5833399968015346,0.002
Historical,Urban,-0.4941652970778789,-1.744335703396904,0.7105244461669884,0.42,0.4597938125233273,0.4052792125939049,0.5130907097083722,0.0
Recent,Rural,-0.1081360437811551,-0.6575408451267764,0.4475731706516733,0.7072,0.2203805772144051,0.1639760611515491,0.2785119703624395,0.0
Recent,Suburban,-0.7307301673953537,-2.564918909763592,1.042203127427388,0.4028,0.2382069003345967,0.0871756897592011,0.3806792002632888,0.0
Recent,Urban,0.7302741624390223,-0.079768947658588,1.5659840745987412,0.0784,0.2965367370926982,0.2244407321210834,0.3694847085058905,0.0
