Period,rurality,median_abs_days,ci_lower_days,ci_upper_days,median_hours,median_pct
2020 and After,Rural,0.07277093450830235,0.0005333461979639555,0.14429404439012705,1.7465024281992565,12.006878771967976
2020 and After,Suburban,0.14384214221241487,0.019372847925650964,0.2640026911376328,3.452211413097957,34.42610764198605
2020 and After,Urban,0.2921678186765097,0.24424616796337076,0.3427039893841879,7.0120276482362325,85.00074491207484
Before 2020,Rural,0.012507567714593826,-0.10072990058874733,0.12426538329926184,0.3001816251502518,1.4052118185265285
Before 2020,Suburban,0.019286276567830107,-0.2070683547625284,0.2474055366045697,0.4628706376279226,2.5419240953219604
Before 2020,Urban,0.1305571823770012,0.05296129117246844,0.20843850138795772,3.133372377048029,16.184500070185926
