spill_type,rurality,median_days,ci_lower,ci_upper,p_value_boot
Historical,Rural,-4.199889746705184,-10.971624837175552,2.5549943569672315,0.2228
Historical,Suburban,-0.7410415074487329,-11.365626134011068,9.922773219178197,0.88
Historical,Urban,-0.49416529707787893,-1.744335703396904,0.7105244461669884,0.42
Recent,Rural,-0.10813604378115516,-0.6575408451267764,0.4475731706516733,0.7072
Recent,Suburban,-0.7307301673953537,-2.564918909763592,1.042203127427388,0.4028
Recent,Urban,0.7302741624390223,-0.079768947658588,1.5659840745987412,0.0784
