spill_type,rurality,median_days,ci_lower_days,ci_upper_days,median_hours
Historical,Rural,0.2808043211269003,0.1565863348121387,0.4013503521568019,6.739303707045607
Historical,Suburban,0.3627858627858625,0.1431912681912688,0.5833399968015346,8.7068607068607
Historical,Urban,0.4597938125233273,0.4052792125939049,0.5130907097083722,11.035051500559856
Recent,Rural,0.22038057721440518,0.16397606115154917,0.2785119703624395,5.289133853145724
Recent,Suburban,0.23820690033459674,0.08717568975920116,0.38067920026328883,5.716965608030321
Recent,Urban,0.2965367370926982,0.22444073212108342,0.36948470850589055,7.116881690224757
