Period,rurality,median_days,ci_lower,ci_upper,p_value_boot
Before 2020,Rural,-9.826219107892053,-14.869599396708646,-4.507633417615492,0.0004
Before 2020,Suburban,-7.100280417538358,-15.484324609933072,1.4802600357437907,0.1072
Before 2020,Urban,-1.6388416472647436,-2.8560915098428508,-0.4644060319162429,0.008
2020 and After,Rural,-13.917287633807826,-18.484154488983858,-9.260262673475022,0.0
2020 and After,Suburban,-7.230488621220758,-13.88880956784627,-0.39649509427327606,0.0368
2020 and After,Urban,-2.8693837632533317,-3.7289121485454073,-2.005130365939876,0.0
