spill_type,Period,rurality,n,pred_mean_nb_mle,pred_median_boot,pred_ci_lower,pred_ci_upper
Historical,2020 and After,Rural,1044,16.61206896551801,16.54615862748247,13.766470855054713,18.966797915204012
Historical,2020 and After,Suburban,231,11.294372294372748,11.60647342995167,6.834081070444714,16.148396833557904
Historical,2020 and After,Urban,3491,5.019192208536449,5.0341462619380515,4.2198460095626675,5.842351829314867
Historical,Before 2020,Rural,468,12.506410256410907,12.394341725675996,9.262108129934525,15.504644051267622
Historical,Before 2020,Suburban,108,10.694444444445006,10.610819327731079,5.023652812895004,18.19070823244562
Historical,Before 2020,Urban,1589,4.510383889238772,4.454814098431159,3.526145942931269,5.466397935588104
Recent,2020 and After,Rural,3302,2.5863113264689064,2.560667657517145,2.137663840647533,3.0401673620419216
Recent,2020 and After,Suburban,649,3.7750385208013877,3.7353698712189223,2.504882777501641,5.340557172613598
Recent,2020 and After,Urban,1763,2.141803743618933,2.1247360323275695,1.7266372277315822,2.637907359386093
Recent,Before 2020,Rural,3279,2.487953644403907,2.465468220636503,2.226266387482926,2.7623255582564576
Recent,Before 2020,Suburban,443,3.06094808126426,2.976461953024451,2.2236204511393756,4.211755345833069
Recent,Before 2020,Urban,1453,2.878183069511512,2.8103688239387594,2.224838911307943,3.6170658851748576
