spill_type,rurality,nb_median,nb_ci_lower,nb_ci_upper,nb_p,poisson_median,poisson_ci_lower,poisson_ci_upper,poisson_p,nb_median_hours,nb_ci_lower_hours,nb_ci_upper_hours,poisson_median_hours,poisson_ci_lower_hours,poisson_ci_upper_hours,nb_median_pct,poisson_median_pct
Historical,Rural,-4.199889746705184,-10.971624837175552,2.5549943569672315,0.2228,0.2808043211269003,0.1565863348121387,0.4013503521568019,0.0,-100.79735392092441,-263.31899609221324,61.31986456721356,6.739303707045607,3.7580720354913293,9.632408451763247,-25.479021997560665,46.08494446729717
Historical,Suburban,-0.7410415074487329,-11.365626134011068,9.922773219178197,0.88,0.3627858627858625,0.1431912681912688,0.5833399968015346,0.002,-17.78499617876959,-272.77502721626564,238.14655726027672,8.7068607068607,3.4365904365904507,14.00015992323683,-6.815870524413987,86.35325466311389
Historical,Urban,-0.4941652970778789,-1.744335703396904,0.7105244461669884,0.42,0.4597938125233273,0.4052792125939049,0.5130907097083722,0.0,-11.859967129869093,-41.8640568815257,17.052586708007723,11.035051500559856,9.726701102253719,12.314177033000934,-9.897765581909265,133.61486122774116
Recent,Rural,-0.1081360437811551,-0.6575408451267764,0.4475731706516733,0.7072,0.2203805772144051,0.1639760611515491,0.2785119703624395,0.0,-2.5952650507477224,-15.780980283042632,10.74175609564016,5.289133853145723,3.9354254676371787,6.684287288698549,-4.18109152886855,32.24532734442724
Recent,Suburban,-0.7307301673953537,-2.564918909763592,1.042203127427388,0.4028,0.2382069003345967,0.0871756897592011,0.3806792002632888,0.0,-17.537524017488487,-61.55805383432621,25.01287505825731,5.716965608030321,2.0922165542208266,9.13630080631893,-19.625238098058546,42.374493828365424
Recent,Urban,0.7302741624390223,-0.079768947658588,1.5659840745987412,0.0784,0.2965367370926982,0.2244407321210834,0.3694847085058905,0.0,17.526579898536536,-1.914454743806112,37.583617790369786,7.116881690224757,5.3865775709060015,8.867633004141371,34.37846057089439,46.60129945237497
