spill_type,rurality,n_months,cov_type,coef_post,p_post,coef_timepost,p_timepost
Historical,Urban,117,OLS,-0.6258180218851861,0.0018718507469392333,0.008814637889539819,0.003021260369991436
Historical,Suburban,65,OLS,-1.5342056118542082,0.009694982592007035,0.01807132945887889,0.043893867680183836
Historical,Rural,105,OLS,-0.2334159073094848,0.47765501503895347,5.206801412964119e-05,0.9918451758098183
Recent,Urban,118,OLS,-0.16832051684406027,0.45952843200400606,0.001572067943505686,0.6434600871705297
Recent,Suburban,92,OLS,-0.20527539932805833,0.6946434889985571,-0.004700550069425163,0.5311199911273919
Recent,Rural,118,OLS,-0.02027865199058196,0.9097199253970083,-0.0029145222355509742,0.2764264214334428
