Period,rurality,nb_median,nb_ci_lower,nb_ci_upper,nb_p,poisson_median,poisson_ci_lower,poisson_ci_upper,poisson_p
Before 2020,Rural,-9.826219107892053,-14.869599396708646,-4.507633417615492,0.0004,0.0125075677145938,-0.1007299005887473,0.1242653832992618,0.828
Before 2020,Suburban,-7.100280417538358,-15.484324609933072,1.4802600357437907,0.1072,0.0192862765678301,-0.2070683547625284,0.2474055366045697,0.862
Before 2020,Urban,-1.6388416472647436,-2.8560915098428508,-0.4644060319162429,0.008,0.1305571823770012,0.0529612911724684,0.2084385013879577,0.0
2020 and After,Rural,-13.917287633807826,-18.484154488983854,-9.260262673475022,0.0,0.0727709345083023,0.0005333461979639,0.144294044390127,0.049
2020 and After,Suburban,-7.230488621220758,-13.88880956784627,-0.396495094273276,0.0368,0.1438421422124148,0.0193728479256509,0.2640026911376328,0.022
2020 and After,Urban,-2.869383763253332,-3.7289121485454073,-2.005130365939876,0.0,0.2921678186765097,0.2442461679633707,0.3427039893841879,0.0
