ID,Oil Spill Volume,Produced Water Spill Volume,Report Delay (Days)
08654,UnknownUnknownUnknown00>=1 and <5UnknownUnknownUnknown0UnknownUnknownUnknownUnknownUnknownUnknownUnknown>=1 and <5UnknownUnknown>=1 and <5UnknownUnknownUnknown,UnknownUnknownUnknown000UnknownUnknownUnknownUnknownUnknownUnknown00UnknownUnknownUnknown>=5 and <100UnknownUnknown>=5 and <100Unknown0Unknown,16.208333333333332
0866,>=1 and <5>=1 and <5>=1 and <5>=1 and <5000000>=1 and <500000>=5 and <1000>=5 and <100>=1 and <50UnknownUnknownUnknownUnknown0>=5 and <100>=5 and <100>=5 and <100UnknownUnknown>0 and <1UnknownUnknownUnknown>0 and <10000Unknown00UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown>=1 and <5>=1 and <5Unknown00>=1 and <5UnknownUnknown0UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown0UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown>0 and <1UnknownUnknown0Unknown>0 and <1UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown>0 and <1UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown000UnknownUnknown0000Unknown0UnknownUnknown0UnknownUnknownUnknown>=1 and <5>=1 and <5UnknownUnknownUnknown>0 and <1>0 and <1UnknownUnknownUnknown,>0 and <1>0 and <100000>=5 and <100>=5 and <100>=5 and <1000>=5 and <100UnknownUnknown00Unknown>=5 and <100Unknown>0 and <1>=5 and <100UnknownUnknownUnknownUnknownUnknown000UnknownUnknown0Unknown0000000Unknown00UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown>=1 and <5>=1 and <5Unknown00>=1 and <5UnknownUnknown0UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown>=5 and <100UnknownUnknownUnknownUnknownUnknownUnknownUnknown0UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown>0 and <1UnknownUnknown0Unknown>0 and <1UnknownUnknownUnknownUnknownUnknownUnknown0UnknownUnknown0Unknown>0 and <10UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown000UnknownUnknown>=5 and <1000>=5 and <1000Unknown0UnknownUnknown0UnknownUnknownUnknown0>=1 and <5UnknownUnknownUnknown>0 and <1>0 and <1UnknownUnknownUnknown,22.575342465753426
08679,UnknownUnknown0000000000000>=1 and <5>=1 and <5UnknownUnknownUnknownUnknownUnknownUnknown>=5 and <100>=5 and <1000UnknownUnknown0UnknownUnknownUnknownUnknown00UnknownUnknownUnknownUnknownUnknownUnknown,UnknownUnknown>=1 and <5>=1 and <5>=1 and <500000000UnknownUnknown00UnknownUnknownUnknown00Unknown00UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown00UnknownUnknownUnknownUnknownUnknownUnknown,0.8536585365853658
08684,UnknownUnknownUnknown>0 and <1>0 and <1>0 and <1>0 and <1>0 and <1UnknownUnknownUnknownUnknownUnknown>=1 and <5Unknown>=1 and <5>=1 and <50>0 and <10000Unknown0Unknown,000>=100>=100>=10000000000Unknown00000000UnknownUnknownUnknown,1.3076923076923077
0874,000UnknownUnknownUnknownUnknownUnknownUnknown00000Unknown0Unknown,UnknownUnknownUnknown00000Unknown00000UnknownUnknownUnknown,48.05882352941177
0875,000UnknownUnknownUnknownUnknownUnknown>=1 and <5Unknown>=1 and <5>=1 and <500000Unknown0Unknown,UnknownUnknownUnknown000000Unknown0000000UnknownUnknownUnknown,40.85
08807,UnknownUnknown00,UnknownUnknown>=1 and <5>=1 and <5,61.5
08809,000000000000000000000000000,>=1 and <5>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=1 and <5>=1 and <5>=1 and <5>=1 and <5>=100>=100>=100>=5 and <100>=5 and <100>=5 and <100>=100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=5 and <100,1.1111111111111112
08818,>=1 and <5>=1 and <5>=1 and <5>=5 and <100>=5 and <100>0 and <1>=5 and <100>0 and <1>=5 and <100>0 and <10000000>0 and <1>0 and <1>=100>=100>=1000000000000>0 and <1>0 and <1>0 and <1,>=1 and <5>=1 and <5>=1 and <500>=1000>=1000>=5 and <100>=100>=100>=100>=1 and <5>=1 and <5>=1 and <5>=100>=5 and <100>=5 and <100000>0 and <1>0 and <1>0 and <1>=100>=100>=100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=5 and <100>=100>=5 and <100,0.8285714285714286
08824,00>=1 and <5>=1 and <50>=1 and <500000000000>=5 and <1000>=5 and <100>=1 and <5>=1 and <500>=1 and <5>=5 and <100>=5 and <100>=5 and <100>=5 and <10000>=5 and <10000>=5 and <10000000UnknownUnknown000000Unknown0UnknownUnknownUnknown00Unknown00000UnknownUnknownUnknownUnknown0Unknown00UnknownUnknownUnknownUnknown0UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown,UnknownUnknown00Unknown0UnknownUnknownUnknownUnknownUnknownUnknownUnknown>=1 and <5>=1 and <5>=1 and <5>=1 and <50>=1 and <50>=1 and <5>=1 and <5>=1 and <5>=5 and <100>=1 and <500000000>=5 and <1000>=5 and <100>=100>=100>=100>=5 and <100UnknownUnknown0>=100>=5 and <1000>=5 and <100>=5 and <100UnknownUnknownUnknownUnknownUnknown>=1 and <5>=5 and <100Unknown00>=5 and <100>=1 and <50UnknownUnknownUnknownUnknown>=1 and <5Unknown00UnknownUnknownUnknownUnknown0UnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknownUnknown,2.8085106382978724
